name,Sa,Sz,Str,Spc,Sdr,Sq,Ssk,Sku,Sp,Sv,Sal,Std,Sdq,Spd,Sk,Spk,Svk,Smr1,Smr2,Sxp,Vvv,Vvc,Vmp,Vmc,Area size
Image2335,1.945,42.699,0.640,1840.278,0.3902,3.013,-1.512,9.910,15.186,27.514,9.874,146.900,1.005,20514.033,4.032,3.210,6.685,14.905,84.452,4.918,0.618,2.461,0.162,1.643,373424.654
Image2336,1.624,38.274,0.885,1423.532,0.2786,2.510,-1.373,9.603,14.711,23.563,13.677,50.200,0.832,32304.972,3.393,2.948,5.366,16.410,85.491,4.454,0.476,2.280,0.139,1.401,373424.654
Image2337,1.232,34.209,0.823,1071.552,0.1612,1.935,-1.628,15.287,10.681,23.529,12.868,48.200,0.624,33609.410,2.797,2.441,3.802,15.172,87.106,3.654,0.319,1.743,0.123,1.096,373424.654
Image2338,0.824,29.120,0.893,891.505,0.09229,1.234,-0.885,12.718,10.300,18.820,13.487,83.000,0.463,34548.820,2.077,1.632,2.197,15.139,89.786,2.505,0.167,1.250,0.082,0.780,373424.654
Image2339,1.016,27.801,0.714,1173.318,0.1610,1.532,-1.243,9.693,9.218,18.583,11.288,38.900,0.615,39782.677,2.409,1.793,3.135,13.925,87.022,2.763,0.264,1.400,0.089,0.932,373424.654
Image2340,0.169,4.823,0.688,247.669,0.007447,0.233,0.300,7.822,2.794,2.029,7.947,43.600,0.124,20648.234,0.483,0.315,0.295,11.596,88.875,0.460,0.029,0.246,0.016,0.175,373424.654
Image2341,0.231,8.660,0.660,307.752,0.009097,0.378,1.186,14.559,3.954,4.707,20.397,42.300,0.138,20573.082,0.515,0.710,0.538,12.653,85.291,0.815,0.051,0.292,0.039,0.206,373424.654
Image2342,0.153,4.897,0.683,204.927,0.004951,0.213,0.277,8.940,3.154,1.744,8.724,0.000,0.100,22111.030,0.428,0.284,0.289,11.212,87.570,0.415,0.029,0.217,0.014,0.159,373424.654
Image2343,0.174,5.005,0.794,219.268,0.005407,0.239,0.260,7.499,3.169,1.836,11.190,0.000,0.105,20841.485,0.499,0.328,0.299,11.110,88.359,0.477,0.030,0.250,0.017,0.183,373424.654
Image2344,0.216,4.470,0.507,308.921,0.01072,0.283,0.453,4.791,2.483,1.988,6.855,90.000,0.149,22408.957,0.640,0.382,0.278,12.216,89.828,0.617,0.031,0.334,0.019,0.231,373424.654
Image2345,0.363,35.101,0.452,418.338,0.03654,0.766,-5.003,108.243,7.808,27.293,10.886,62.500,0.300,17725.327,0.687,1.052,1.162,15.704,85.972,1.248,0.098,0.469,0.062,0.284,373424.654
Image2346,0.423,33.586,0.531,472.393,0.05860,0.748,-5.110,130.490,8.534,25.051,10.725,28.900,0.420,16721.500,0.913,1.060,1.136,15.023,85.965,1.401,0.101,0.601,0.056,0.376,373424.654
Image2347,0.233,10.217,0.614,281.447,0.007851,0.370,0.205,14.058,4.375,5.842,18.111,22.500,0.128,19233.751,0.548,0.624,0.564,13.673,87.579,0.799,0.049,0.325,0.034,0.212,373424.654
Image2348,0.197,3.672,0.457,213.726,0.007492,0.260,-0.034,4.388,2.059,1.612,5.722,90.000,0.123,18603.004,0.570,0.308,0.327,11.510,88.018,0.520,0.034,0.291,0.015,0.211,373424.654
Image2349,0.243,5.865,0.566,391.069,0.01550,0.328,0.137,5.642,2.588,3.277,8.474,90.000,0.180,26236.383,0.695,0.444,0.383,12.345,88.848,0.698,0.039,0.370,0.022,0.257,373424.654
Image2350,0.560,39.586,0.460,589.746,0.05667,1.023,-0.969,31.471,11.656,27.930,12.781,50.800,0.372,21635.957,0.993,1.678,1.463,16.844,83.069,2.109,0.139,0.777,0.098,0.471,373424.654
Image2351,0.408,28.093,0.512,483.400,0.04449,0.684,-5.176,137.728,5.780,22.312,12.714,116.500,0.352,17728.011,0.937,0.975,0.970,16.254,88.059,1.362,0.083,0.634,0.050,0.374,373424.654
Image2352,0.145,5.497,0.946,240.924,0.004299,0.196,0.877,8.328,4.421,1.076,12.311,0.000,0.094,22312.332,0.423,0.290,0.186,12.511,89.965,0.433,0.020,0.225,0.015,0.153,373424.654
Image2353,0.273,5.112,0.490,465.174,0.01934,0.363,0.231,4.745,3.215,1.897,6.076,80.100,0.201,27028.171,0.765,0.470,0.423,12.856,87.513,0.763,0.045,0.418,0.023,0.291,373424.654
Image2354,0.287,5.987,0.657,598.345,0.03133,0.385,0.139,4.879,3.345,2.643,6.781,90.000,0.258,35888.151,0.811,0.518,0.466,12.920,88.899,0.834,0.047,0.442,0.026,0.301,373424.654
Image2355,0.713,41.670,0.825,759.545,0.1307,1.558,-1.279,29.522,17.363,24.306,11.831,159.600,0.587,26963.755,0.901,2.681,2.805,16.672,83.912,3.206,0.244,0.794,0.171,0.421,373424.654
Image2356,0.798,29.190,0.704,1029.749,0.1559,1.404,-1.514,18.224,12.625,16.565,10.573,29.500,0.628,28356.766,1.365,2.204,2.696,17.494,84.836,2.839,0.236,1.170,0.113,0.620,373424.654
Image2357,0.565,25.419,0.539,768.606,0.08982,1.032,-2.295,27.705,7.615,17.804,9.702,7.300,0.468,32130.510,1.043,1.574,1.939,17.716,87.573,2.195,0.149,0.810,0.089,0.437,373424.654
Image2358,0.353,6.643,0.652,826.110,0.05335,0.470,0.290,4.877,3.283,3.360,6.005,95.900,0.343,37726.711,1.001,0.631,0.517,13.580,89.315,1.027,0.054,0.557,0.031,0.372,373424.654
Image2359,0.648,17.383,0.576,1328.050,0.1949,1.032,-0.885,10.159,7.324,10.059,5.613,60.900,0.673,41046.854,1.286,1.529,1.938,16.516,84.945,2.118,0.175,0.937,0.077,0.556,373424.654
Image2360,0.783,28.157,0.644,1208.637,0.1700,1.191,0.186,11.103,11.371,16.786,11.965,117.700,0.636,38236.676,1.687,1.952,1.676,16.960,85.689,2.767,0.159,1.194,0.105,0.726,373424.654
Image2361,0.537,15.718,0.814,803.927,0.06033,0.739,0.509,6.510,6.404,9.314,16.070,49.400,0.364,33834.869,1.421,1.116,0.854,14.980,88.998,1.694,0.085,0.856,0.056,0.541,373424.654
Image2362,0.473,27.886,0.470,835.599,0.06637,0.689,-1.096,43.768,6.655,21.231,11.368,23.000,0.391,31642.017,1.242,1.039,0.849,14.182,88.852,1.528,0.079,0.729,0.053,0.471,373424.654
Image2363,0.552,24.246,0.629,1384.360,0.1690,0.791,-1.309,25.046,5.870,18.376,5.390,36.400,0.630,40654.986,1.400,0.982,1.156,14.306,86.285,1.542,0.113,0.826,0.048,0.557,373424.654
Image2364,1.375,33.407,0.615,2860.389,0.7242,1.931,-0.864,7.957,10.290,23.117,5.823,43.100,1.354,47853.552,3.421,2.125,3.080,13.535,84.437,3.525,0.311,1.951,0.104,1.410,373424.654
Image2365,0.119,3.752,0.818,123.621,0.002184,0.157,0.101,5.572,2.511,1.241,13.191,180.000,0.067,32385.493,0.357,0.184,0.180,11.386,89.238,0.313,0.019,0.180,0.009,0.129,373424.654
Image2366,0.114,2.872,0.764,125.133,0.001623,0.151,-0.676,8.327,0.908,1.964,17.012,0.000,0.057,49579.382,0.349,0.148,0.188,10.977,89.446,0.287,0.019,0.172,0.007,0.124,373424.654
Image2367,0.111,6.079,0.667,136.155,0.002050,0.165,2.723,45.998,4.064,2.015,16.035,0.000,0.065,61579.676,0.331,0.207,0.177,10.505,89.769,0.272,0.017,0.161,0.011,0.118,373424.654
Image2368,0.183,6.828,0.777,189.521,0.004428,0.253,0.515,8.326,3.138,3.690,17.666,156.400,0.096,38368.193,0.518,0.382,0.292,11.708,88.678,0.535,0.030,0.268,0.020,0.189,373424.654
Image2369,0.240,8.642,0.733,318.207,0.01278,0.333,0.824,8.544,3.060,5.582,14.165,90.000,0.164,30860.965,0.686,0.528,0.349,12.037,90.016,0.740,0.035,0.357,0.028,0.246,373424.654
Image2370,0.141,4.014,0.629,116.174,0.002742,0.192,0.620,8.915,2.525,1.489,11.702,38.400,0.075,23337.631,0.404,0.257,0.224,11.908,88.630,0.382,0.023,0.209,0.013,0.148,373424.654
Image2371,0.149,3.872,0.489,117.184,0.002500,0.210,0.299,6.934,1.850,2.022,14.320,22.000,0.071,30839.492,0.403,0.326,0.289,11.991,88.154,0.463,0.027,0.214,0.017,0.149,373424.654
Image2372,0.201,16.928,0.802,147.893,0.004783,0.300,1.062,20.073,3.886,13.042,18.920,164.000,0.106,38378.930,0.497,0.565,0.337,14.220,88.514,0.749,0.032,0.304,0.030,0.189,373424.654
